iter	MultiClass
436	0.2136042346
437	0.2134038531
438	0.2128937674
439	0.2127583134
440	0.2126369932
441	0.2124322985
442	0.2120623718
443	0.2118079735
444	0.2110730725
445	0.2108949736
446	0.2107278215
447	0.2102540644
448	0.2101196916
449	0.2099519491
450	0.2097738835
451	0.209067893
452	0.2088581126
453	0.2085017774
454	0.2084245187
455	0.207874778
456	0.2076819805
457	0.2071486699
458	0.2070098058
459	0.2067295526
460	0.2065843903
461	0.2063736616
462	0.205659213
463	0.2055554657
464	0.2053933491
465	0.2049905531
466	0.2048793766
467	0.2047151339
468	0.2045481449
469	0.2043667894
470	0.204211623
471	0.2037908929
472	0.2032496845
473	0.2031272804
474	0.2029873441
475	0.202859531
476	0.2026308144
477	0.2025344926
478	0.202434728
479	0.202255581
480	0.2021309946
481	0.2020129134
482	0.2018366936
483	0.2017411947
484	0.2014185669
485	0.2012117134
486	0.2009521988
487	0.2006692552
488	0.2005039174
489	0.2003244755
490	0.2000719227
491	0.1999417205
492	0.1998295224
493	0.1996237503
494	0.1994371475
495	0.1993290621
496	0.1990575354
497	0.1987009308
498	0.1985411077
499	0.1982391667
500	0.1980509334
501	0.1977459822
502	0.1976032095
503	0.1973206348
504	0.1971514555
505	0.1969000437
506	0.1967457971
507	0.1965712215
508	0.1963191707
509	0.196226973
510	0.196052193
511	0.1959165805
512	0.1958213347
513	0.1956349728
514	0.1954623594
515	0.1951719438
516	0.1950500152
517	0.1948178257
518	0.1940958969
519	0.1936895932
520	0.1934600083
521	0.1932649255
522	0.1931299314
523	0.1929978185
524	0.1927720419
525	0.1925839063
526	0.1922135557
527	0.1918954001
528	0.1916922257
529	0.1915316591
530	0.1913820995
531	0.1910128036
532	0.1909125197
533	0.1907735369
534	0.1906726007
535	0.190429821
536	0.1900391533
537	0.1899104766
538	0.1897240645
539	0.1894517778
540	0.1893487347
541	0.189231933
542	0.1889714556
543	0.1888949079
544	0.1888219932
545	0.1886935104
546	0.1884337593
547	0.188322045
548	0.1879818667
549	0.1878921247
550	0.1876408507
551	0.1875242914
552	0.1872077851
553	0.1870468743
554	0.1868928003
555	0.1867521099
556	0.1864579596
557	0.1863719212
558	0.1862209768
559	0.1860556179
560	0.18599453
561	0.1858387746
562	0.1856778049
563	0.1855640546
564	0.1854653832
565	0.1853616898
566	0.1852290953
567	0.1850846423
568	0.1849913016
569	0.1847898938
570	0.1845808582
571	0.1844042639
572	0.1842119249
573	0.1840805966
574	0.183927555
575	0.1838293409
576	0.1835686349
577	0.1833813327
578	0.1832527112
579	0.1831493401
580	0.1829671969
581	0.1828525678
582	0.1826407286
583	0.182504813
584	0.182357845
585	0.182256332
586	0.1821906103
587	0.18190904
588	0.1817417276
589	0.1816216283
590	0.181403938
591	0.1811652008
592	0.1810687932
593	0.1807563012
594	0.180711184
595	0.1804831425
596	0.1803344599
597	0.1801782286
598	0.1801296481
599	0.1799956528
600	0.1798674617
601	0.1796332017
602	0.1795189076
603	0.1791858561
604	0.1789456074
605	0.1788472097
606	0.1787537557
607	0.1785257953
608	0.1783658625
609	0.177945787
610	0.1776798353
611	0.177486503
612	0.1774040966
613	0.1770129231
614	0.1767878287
615	0.1765508853
616	0.1764288814
617	0.1763229597
618	0.1761901274
619	0.1759937788
620	0.1758441253
621	0.175648052
622	0.1755602692
623	0.1754720289
624	0.1753192187
625	0.1751796958
626	0.1750743977
627	0.1750301662
628	0.1749744
629	0.1748650905
630	0.1748062843
631	0.1746792164
632	0.1745601304
633	0.1745028091
634	0.1743899883
635	0.1742937001
636	0.1741318522
637	0.1739363239
638	0.1738432217
639	0.1737442744
640	0.1732908239
641	0.1731975177
642	0.173060739
643	0.1730158645
644	0.1727789441
645	0.1726395734
646	0.172546466
647	0.1722970396
648	0.1722084282
649	0.1719935291
650	0.1715559571
651	0.1713699935
652	0.1709706066
653	0.1707194598
654	0.1705315568
655	0.1703928709
656	0.1700027581
657	0.1698705437
658	0.1698174133
659	0.1694069227
660	0.1692265826
661	0.1690050594
662	0.1689120786
663	0.1686326534
664	0.1684903968
665	0.1683906952
666	0.1682771194
667	0.1680978139
668	0.1679806095
669	0.1679041075
670	0.1677370469
671	0.1675233031
672	0.1673814471
673	0.1672774952
674	0.1671277312
675	0.1670239401
676	0.1669189412
677	0.1668286912
678	0.1665688943
679	0.1664096897
680	0.1661295816
681	0.1660713295
682	0.1658104435
683	0.1656849304
684	0.1656353853
685	0.1654602302
686	0.1652373713
687	0.1651206295
688	0.1649315222
689	0.1647834112
690	0.164688963
691	0.1644843262
692	0.1643685419
693	0.1642040224
694	0.1641052281
695	0.1638430333
696	0.1637412041
697	0.1635521577
698	0.1633998921
699	0.1632312779
700	0.1631082937
701	0.1630637044
702	0.1629123045
703	0.1628588707
704	0.1627441485
705	0.1626849562
706	0.1625831369
707	0.1624412831
708	0.1620523821
709	0.1619090642
710	0.1618460215
711	0.1617973902
712	0.1615911379
713	0.1614597381
714	0.1614004086
715	0.1613344293
716	0.1610940125
717	0.1609445533
718	0.1608286317
719	0.1605802879
720	0.1605325523
721	0.1604256621
722	0.1603073714
723	0.159996989
724	0.1598324818
725	0.1596963394
726	0.159547474
727	0.1594535658
728	0.1593508565
729	0.1591097522
730	0.158999353
731	0.1589327713
732	0.1587605537
733	0.158663939
734	0.1582808102
735	0.158123119
736	0.1579653375
737	0.1576382692
738	0.1574066089
739	0.1570619655
740	0.1569471847
741	0.156778486
742	0.1564192465
743	0.1563332661
744	0.1562336862
745	0.1561677662
746	0.1560363992
747	0.1558158672
748	0.1555680301
749	0.1553887627
750	0.1553370525
751	0.1552284024
752	0.1549204117
753	0.1547896825
754	0.1545970865
755	0.1545240649
756	0.1543220819
757	0.1541215858
758	0.1540160332
759	0.1538215943
760	0.1536747392
761	0.1535597833
762	0.1534767178
763	0.153388627
764	0.1531185174
765	0.1530717162
766	0.1529744488
767	0.1528916294
768	0.1527650345
769	0.1525955335
770	0.1524092373
771	0.1523223642
772	0.1520587036
773	0.1519066919
774	0.1517553351
775	0.1515419348
776	0.1513866813
777	0.1512945034
778	0.1511167131
779	0.1509265652
780	0.1507907735
781	0.150470613
782	0.1502925558
783	0.1501935552
784	0.1501285484
785	0.1499142242
786	0.1496898519
787	0.1495378238
788	0.1493682678
789	0.1492441492
790	0.1490392799
791	0.1488100763
792	0.1486629526
793	0.1485388459
794	0.148405355
795	0.148293938
796	0.1481861793
797	0.14809854
798	0.1478898325
799	0.1476971805
800	0.1475687143
801	0.1474193328
802	0.1470720965
803	0.1470137986
804	0.1468044309
805	0.146671458
806	0.1465990869
807	0.1464743209
808	0.1463723787
809	0.1463194902
810	0.1462712857
811	0.1461243482
812	0.1459163457
813	0.1457730817
814	0.1456212394
815	0.1455513151
816	0.1454805397
817	0.1452684594
818	0.1451851898
819	0.1448650458
820	0.1447087438
821	0.144623965
822	0.1444061161
823	0.1441085785
824	0.1440489214
825	0.1437395463
826	0.1436624483
827	0.1435721256
828	0.1434980546
829	0.143380425
830	0.1431539097
831	0.1429882518
832	0.1428948055
833	0.1426206723
834	0.1425527361
835	0.1424618399
836	0.1423324954
837	0.1422137167
838	0.1421383203
839	0.1420791834
840	0.1420277568
841	0.1419183639
842	0.1417553274
843	0.1416478163
844	0.1415343036
845	0.1414249655
846	0.1413624243
847	0.1412712321
848	0.1410834022
849	0.1409551032
850	0.140835965
851	0.1406564569
852	0.140503822
853	0.1404499761
854	0.140362667
855	0.1403100614
856	0.1401712518
857	0.1400744696
858	0.1398700015
859	0.1397141803
860	0.1394891869
861	0.1393422013
862	0.1392349033
863	0.1391605489
864	0.1390138494
865	0.1386378902
866	0.1385181933
867	0.1383752692
868	0.1382460296
869	0.1381355299
870	0.1380501706
871	0.1379162141
872	0.1377955436
873	0.1377083331
874	0.137649591
875	0.1375890256
876	0.1374431523
877	0.1373666708
878	0.1370579987
879	0.1369003875
880	0.1366367313
881	0.1364888754
882	0.136381931
883	0.1362734432
884	0.1360788639
885	0.1359846132
886	0.1358916024
887	0.1358549202
888	0.1356780331
889	0.1355679816
890	0.1354109755
891	0.1352909158
892	0.1351624366
893	0.1351189645
894	0.134958432
895	0.1348624763
896	0.1347030438
897	0.1345630212
898	0.1344661847
899	0.134355262
900	0.1341395139
901	0.1340365199
902	0.1339987558
903	0.13391263
904	0.1338248857
905	0.1336628063
906	0.133501366
907	0.133458589
908	0.1333835875
909	0.1332432614
910	0.1330926407
911	0.1330017581
912	0.1328600918
913	0.1327756333
914	0.1326579036
915	0.1325873699
916	0.1324543834
917	0.132343699
918	0.1322985905
919	0.1322323889
920	0.1321229057
921	0.1320154192
922	0.1319220408
923	0.1317119471
924	0.1316226683
925	0.1315624042
926	0.1315186347
927	0.1314245202
928	0.1311754228
929	0.1310474964
930	0.1309860127
931	0.1308895066
932	0.1306468538
933	0.1304135033
934	0.1302975962
935	0.1301894726
936	0.1300405999
937	0.1298569353
938	0.129651125
939	0.1294991273
940	0.1293831357
941	0.1292686247
942	0.129136102
943	0.1290290038
944	0.128876613
945	0.1287863584
946	0.1286150857
947	0.1285166799
948	0.1284232607
949	0.1283719578
950	0.1282610901
951	0.1279779348
952	0.127886976
953	0.1278438245
954	0.1277492092
955	0.1276448509
956	0.1275728637
957	0.1273967505
958	0.12729666
959	0.1272076122
960	0.1270772383
961	0.1269822573
962	0.126927151
963	0.126821732
964	0.1267106022
965	0.1265760176
966	0.1264843086
967	0.1264443561
968	0.1263044819
969	0.1261210455
970	0.1260505223
971	0.1259671675
972	0.1259043789
973	0.1255621712
974	0.1254700298
975	0.1253645394
976	0.1253355301
977	0.1252568131
978	0.1249635427
979	0.1248737465
980	0.1247375782
981	0.124669693
982	0.1245993269
983	0.1245258708
984	0.1244455075
985	0.1242245059
986	0.1241138854
987	0.1240616686
988	0.1239761683
989	0.1239502544
990	0.1238117531
991	0.1236572729
992	0.1235715138
993	0.1235121247
994	0.123347756
995	0.1232736074
996	0.1230779843
997	0.1230210181
998	0.1229390416
999	0.122645508
