iter	Passed	Remaining
407	6003	8711
408	6032	8716
409	6071	8737
410	6116	8764
411	6149	8776
412	6194	8803
413	6221	8805
414	6258	8821
415	6295	8837
416	6329	8848
417	6373	8873
418	6407	8884
419	6441	8895
420	6486	8921
421	6531	8945
422	6577	8972
423	6627	9003
424	6659	9009
425	6722	9058
426	6775	9091
427	6835	9134
428	6877	9154
429	6925	9180
430	6970	9201
431	7004	9210
432	7047	9229
433	7090	9246
434	7119	9246
435	7142	9239
436	7165	9230
437	7181	9214
438	7218	9223
439	7248	9225
440	7272	9218
441	7307	9225
442	7340	9229
443	7373	9233
444	7404	9235
445	7424	9222
446	7457	9225
447	7482	9220
448	7501	9205
449	7513	9182
450	7525	9161
451	7536	9137
452	7547	9113
453	7566	9099
454	7581	9080
455	7593	9058
456	7605	9036
457	7616	9013
458	7628	8990
459	7638	8967
460	7654	8949
461	7667	8929
462	7678	8905
463	7691	8885
464	7703	8863
465	7714	8840
466	7726	8819
467	7739	8798
468	7751	8776
469	7766	8757
470	7777	8735
471	7788	8712
472	7802	8692
473	7813	8671
474	7829	8653
475	7847	8639
476	7861	8619
477	7875	8600
478	7893	8586
479	7906	8564
480	7916	8541
481	7928	8520
482	7940	8499
483	7956	8482
484	7967	8460
485	7979	8439
486	7996	8423
487	8008	8402
488	8021	8382
489	8033	8361
490	8045	8340
491	8060	8322
492	8071	8300
493	8082	8279
494	8094	8257
495	8106	8236
496	8124	8222
497	8136	8201
498	8147	8179
499	8161	8161
500	8172	8140
501	8184	8119
502	8197	8099
503	8207	8077
504	8219	8057
505	8234	8039
506	8247	8019
507	8259	7998
508	8271	7979
509	8283	7958
510	8294	7937
511	8305	7915
512	8317	7896
513	8329	7876
514	8340	7854
515	8352	7834
516	8366	7816
517	8384	7802
518	8398	7783
519	8409	7762
520	8429	7749
521	8439	7728
522	8450	7707
523	8461	7686
524	8472	7665
525	8487	7648
526	8499	7628
527	8520	7617
528	8545	7608
529	8564	7594
530	8580	7578
531	8594	7560
532	8610	7544
533	8624	7526
534	8638	7507
535	8649	7487
536	8662	7469
537	8673	7448
538	8684	7427
539	8696	7408
540	8707	7387
541	8718	7367
542	8730	7347
543	8742	7328
544	8753	7307
545	8763	7287
546	8776	7267
547	8786	7247
548	8797	7227
549	8812	7210
550	8824	7191
551	8839	7174
552	8853	7156
553	8865	7136
554	8881	7121
555	8901	7108
556	8918	7092
557	8933	7076
558	8946	7057
559	8960	7040
560	8972	7021
561	8987	7004
562	9006	6991
563	9022	6974
564	9038	6958
565	9052	6940
566	9062	6920
567	9077	6904
568	9091	6886
569	9103	6867
570	9115	6848
571	9126	6828
572	9141	6812
573	9154	6794
574	9166	6775
575	9179	6756
576	9189	6736
577	9209	6723
578	9226	6709
579	9238	6690
580	9250	6670
581	9260	6650
582	9271	6631
583	9284	6613
584	9297	6595
585	9308	6575
586	9320	6557
587	9332	6539
588	9345	6521
589	9355	6501
590	9369	6484
591	9381	6465
592	9391	6445
593	9400	6425
594	9416	6409
595	9427	6390
596	9440	6372
597	9456	6356
598	9468	6338
599	9478	6319
600	9489	6300
601	9499	6280
602	9510	6261
603	9519	6241
604	9530	6222
605	9546	6206
606	9557	6188
607	9568	6168
608	9588	6156
609	9599	6137
610	9611	6119
611	9626	6103
612	9641	6087
613	9652	6068
614	9661	6048
615	9672	6029
616	9683	6011
617	9693	5991
618	9706	5974
619	9716	5955
620	9725	5935
621	9737	5917
622	9748	5898
623	9757	5879
624	9769	5861
625	9779	5842
626	9793	5826
627	9807	5809
628	9817	5790
629	9827	5771
630	9839	5753
631	9849	5735
632	9861	5717
633	9871	5698
634	9881	5679
635	9892	5661
636	9903	5643
637	9915	5626
638	9926	5607
639	9938	5590
640	9949	5572
641	9961	5555
642	9973	5537
643	9984	5519
644	9995	5501
645	10007	5484
646	10018	5465
647	10028	5447
648	10040	5430
649	10050	5411
650	10065	5396
651	10082	5381
652	10093	5363
653	10104	5346
654	10116	5328
655	10127	5310
656	10138	5293
657	10149	5275
658	10161	5258
659	10173	5240
660	10185	5223
661	10203	5209
662	10217	5193
663	10230	5176
664	10243	5160
665	10256	5143
666	10268	5126
667	10278	5108
668	10293	5093
669	10304	5075
670	10315	5057
671	10325	5039
672	10337	5022
673	10348	5005
674	10361	4989
675	10372	4971
676	10383	4954
677	10397	4937
678	10413	4922
679	10425	4905
680	10437	4889
681	10448	4871
682	10463	4856
683	10475	4839
684	10487	4822
685	10501	4806
686	10513	4790
687	10528	4774
688	10538	4757
689	10549	4739
690	10563	4723
691	10575	4707
692	10586	4689
693	10597	4672
694	10609	4655
695	10618	4638
696	10637	4624
697	10647	4606
698	10658	4589
699	10669	4572
700	10679	4555
701	10694	4539
702	10708	4523
703	10718	4506
704	10731	4490
705	10741	4473
706	10753	4456
707	10764	4439
708	10775	4422
709	10785	4405
710	10798	4389
711	10810	4372
712	10819	4355
713	10831	4338
714	10842	4321
715	10853	4304
716	10865	4288
717	10875	4271
718	10886	4254
719	10898	4238
720	10909	4221
721	10923	4205
722	10935	4189
723	10948	4173
724	10965	4159
725	10978	4143
726	10993	4128
727	11007	4112
728	11019	4096
729	11030	4079
730	11043	4063
731	11054	4047
732	11064	4030
733	11076	4013
734	11089	3998
735	11100	3981
736	11110	3964
737	11123	3948
738	11135	3932
739	11153	3918
740	11165	3902
741	11175	3885
742	11189	3870
743	11201	3854
744	11213	3838
745	11228	3823
746	11242	3807
747	11257	3792
748	11269	3776
749	11280	3760
750	11292	3744
751	11303	3727
752	11317	3712
753	11329	3696
754	11340	3680
755	11353	3664
756	11364	3647
757	11375	3631
758	11390	3616
759	11400	3600
760	11411	3583
761	11423	3568
762	11437	3552
763	11452	3537
764	11462	3521
765	11475	3505
766	11489	3490
767	11505	3475
768	11516	3459
769	11526	3442
770	11537	3426
771	11551	3411
772	11562	3395
773	11573	3379
774	11585	3363
775	11598	3347
776	11609	3332
777	11621	3316
778	11632	3300
779	11646	3284
780	11669	3272
781	11682	3256
782	11693	3240
783	11704	3224
784	11715	3208
785	11726	3192
786	11738	3176
787	11752	3161
788	11762	3145
789	11773	3129
790	11784	3113
791	11801	3099
792	11817	3084
793	11828	3068
794	11838	3052
795	11849	3036
796	11860	3021
797	11872	3005
798	11884	2989
799	11894	2973
800	11906	2957
