,ngram,ngram_index
263,length actually works,5454
264,actually works bit,65
265,works bit tummy,12656
266,bit tummy ordered,864
267,tummy ordered size,11574
268,ordered size fits,7409
269,size fits great,9644
270,fits great really,3670
271,great really love,4442
272,really love colors,8510
273,love colors many,6182
274,colors many tops,1707
275,many tops go,6518
276,tops go skirt,11364
277,go skirt easy,4185
278,skirt easy vary,9849
279,easy vary look,2822
280,thought would heavier,11061
281,would heavier surprised,12744
282,heavier surprised thin,4577
283,surprised thin works,10700
284,thin works live,10949
285,works live deep,12661
286,live deep south,5842
287,deep south get,2289
288,south get cold,10252
289,get cold wore,4059
290,cold wore dinner,1593
291,wore dinner black,12581
292,dinner black top,2449
293,black top jeans,914
294,top jeans super,11291
295,jeans super cute,5127
296,super cute happy,10647
297,cute happy purchase,2183
298,like top lightweight,5674
299,top lightweight comfortable,11296
300,lightweight comfortable flattering,5545
301,comfortable flattering see,1769
302,flattering see wearing,3803
303,see wearing holidays,9151
304,wearing holidays entertaining,12258
305,holidays entertaining looks,4799
306,entertaining looks festive,2927
307,looks festive pretty,6064
308,festive pretty something,3427
309,pretty something easy,8163
310,something easy pop,10218
311,easy pop look,2820
312,pop look pulled,8079
313,look pulled together,5977
314,pulled together flash,8279
315,ordered dress wear,7373
316,dress wear summer,2715
317,wear summer wedding,12215
318,summer wedding san,10622
319,wedding san francisco,12292
320,san francisco liked,9018
321,francisco liked sleeves,3926
322,liked sleeves plus,5700
323,sleeves plus trying,9918
324,plus trying found,8045
325,trying found little,11532
326,found little snug,3898
327,little snug realized,5818
328,snug realized slip,10107
329,realized slip tight,8472
330,slip tight dress,9959
331,tight dress helps,11107
332,dress helps smooth,2604
333,helps smooth little,4620
334,smooth little bumps,10089
335,little bumps drop,5761
336,bumps drop waist,1228
337,drop waist style,2769
338,waist style skims,11923
339,style skims torso,10562
340,skims torso flares,9823
341,torso flares prettily,11386
342,flares prettily complimentary,3741
343,prettily complimentary beautiful,8129
344,complimentary beautiful color,1878
345,beautiful color well,638
346,color well made,1678
347,well made pleased,12381
348,made pleased comfortable,6424
349,pleased comfortable perfect,8018
350,comfortable perfect wedding,1792
351,honestly give jeans,4808
352,give jeans loved,4120
353,jeans loved saw,5109
354,loved saw store,6335
355,saw store wore,9044
356,store wore got,10437
357,wore got tons,12587
358,got tons compliments,4332
359,tons compliments super,11208
360,compliments super comfortable,1901
361,super comfortable read,10638
362,comfortable read reviews,1797
363,read reviews thought,8462
364,reviews thought comments,8788
365,thought comments little,11040
366,comments little strange,1842
367,little strange jeans,5819
368,strange jeans obviously,10449
369,jeans obviously classic,5113
370,obviously classic go,7157
371,classic go style,1527
372,go style run,4187
373,style run little,10554
374,run little outside,8923
375,little outside style,5800
376,outside style box,7468
377,style box welcome,10528
378,box welcome wardrobe,1136
379,dress beautiful person,2529
380,beautiful person afraid,660
381,person afraid would,7788
382,afraid would long,117
383,would long perfect,12758
384,long perfect need,5884
385,perfect need inch,7728
386,need inch heel,6949
387,inch heel fine,4954
388,heel fine details,4593
389,fine details flowers,3480
390,details flowers really,2404
391,flowers really nice,3849
392,really nice one,8514
393,nice one plus,7034
394,one plus machine,7235
395,plus machine washable,8042
396,usually try buy,11799
397,try buy petite,11507
398,buy petite sizes,1304
399,petite sizes since,7852
400,sizes since pretty,9799
401,since pretty pass,9579
402,pretty pass took,8157
403,pass took chance,7618
404,took chance ordered,11213
405,chance ordered regular,1453
406,ordered regular size,7402
407,regular size xs,8633
408,size xs right,9770
409,xs right bag,12891
410,right bag impressed,8811
411,bag impressed colors,583
412,impressed colors fabric,4948
413,colors fabric romper,1696
414,fabric romper however,3213
415,romper however notice,8867
416,however notice entire,4869
417,notice entire back,7133
418,entire back open,2928
419,back open put,540
420,open put pictures,7324
421,put pictures looks,8354
422,pictures looks like,7935
423,looks like small,6085
424,like small opening,5656
425,small opening put,10025
426,opening put exposed,7329
427,put exposed way,8351
428,exposed way lower,3111
429,way lower back,12101
430,lower back may,6380
431,back may taller,535
432,may taller person,6610
433,top nice ordered,11306
434,nice ordered black,7036
435,ordered black looked,7364
436,black looked good,893
437,looked good embroidery,6004
438,good embroidery pleated,4238
439,embroidery pleated details,2878
440,pleated details give,8022
441,details give nice,2405
442,give nice look,4126
443,nice look fabric,7029
444,look fabric however,5938
445,fabric however feels,3187
446,however feels like,4858
447,feels like heavy,3383
448,like heavy cotton,5604
449,heavy cotton feel,4582
450,cotton feel soft,1979
451,feel soft comfortable,3365
452,soft comfortable bit,10114
453,comfortable bit hard,1754
454,bit hard wear,825
455,hard wear usually,4564
456,wear usually prefer,12229
457,usually prefer soft,11789
458,prefer soft cotton,8104
459,soft cotton think,10124
460,cotton think retain,1986
461,think retain shape,10984
462,retain shape stretch,8711
463,shape stretch like,9255
464,stretch like softer,10471
465,like softer cotton,5658
466,softer cotton sending,10184
467,cotton sending back,1983
468,sending back felt,9195
469,back felt bit,522
470,felt bit heavy,3395
471,bit heavy wear,826
472,bought blouse sale,1070
473,blouse sale medium,940
474,sale medium last,9002
475,medium last one,6656
476,last one left,5337
477,one left store,7221
478,left store usually,5412
479,store usually wear,10435
480,usually wear large,11804
481,wear large surprisingly,12170
482,large surprisingly fit,5309
483,surprisingly fit woman,10704
484,fit woman color,3648
485,woman color white,12549
486,color white lace,1679
487,white lace looks,12459
488,lace looks great,5253
489,looks great complexion,6071
490,great complexion got,4380
491,complexion got many,1874
492,got many compliments,4304
493,many compliments blouse,6500
494,compliments blouse made,1882
495,blouse made way,935
496,made way register,6436
497,way register check,12108
498,register check cannot,8613
499,check cannot wait,1463
500,wait wear spring,11952
501,wear spring ill,12211
502,spring ill careful,10295
503,ill careful wearing,4924
504,careful wearing blouse,1392
505,wearing blouse one,12253
506,blouse one good,936
507,one good snag,7216
508,good snag fingernail,4251
509,snag fingernail necklace,10090
510,fingernail necklace lace,3487
511,necklace lace torn,6920
512,lace torn happy,5259
513,picked weekend gorgeous,7902
514,weekend gorgeous usually,12304
515,gorgeous usually maxi,4284
516,usually maxi length,11782
517,maxi length overwhelming,6596
518,length overwhelming flattering,5483
519,overwhelming flattering floor,7492
520,flattering floor length,3776
521,floor length picked,3836
522,length picked couple,5492
523,picked couple tops,7899
524,couple tops another,2040
525,tops another store,11358
526,another store suggested,299
527,store suggested sweaters,10433
528,suggested sweaters baggy,10589
529,sweaters baggy frame,10752
530,baggy frame ill,590
531,frame ill pair,3918
532,ill pair cream,4930
533,pair cream blouse,7508
534,cream blouse pictured,2072
535,blouse pictured dress,938
536,pictured dress pink,7927
537,dress pink crepe,2652
538,pink crepe blouse,7972
539,crepe blouse denim,2086
540,blouse denim jacket,930
541,denim jacket casual,2333
542,jacket casual look,5058
543,casual look usually,1416
544,look usually small,5992
545,usually small fits,11794
546,small fits perfectly,10003
547,xl retailer tops,12852
548,retailer tops xl,8705
549,tops xl fits,11380
550,xl fits nicely,12849
551,fits nicely blouse,3677
552,nicely blouse athletic,7064
553,blouse athletic slender,929
554,athletic slender petite,454
555,slender petite bust,9929
556,petite bust probably,7818
557,bust probably size,1250
558,probably size nice,8228
559,size nice lightweight,9695
560,nice lightweight sweater,7027
561,lightweight sweater would,5554
562,sweater would say,10750
563,would say thin,12797
564,say thin anything,9061
565,thin anything like,10935
566,anything like lightweight,315
567,like lightweight categorized,5613
568,lightweight categorized sweater,5544
569,categorized sweater absolutely,1429
570,sweater absolutely love,10708
571,absolutely love pattern,26
572,love pattern placement,6264
573,pattern placement sweater,7642
574,placement sweater makes,7996
575,sweater makes sweater,10735
576,makes sweater unique,6488
577,sweater unique figure,10746
578,unique figure flattering,11706
579,figure flattering honestly,3434
580,flattering honestly crazy,3781
581,honestly crazy kimonobell,4807
582,crazy kimonobell sleeves,2070
583,kimonobell sleeves feel,5190
584,sleeves feel best,9910
585,feel best impr,3334
586,really wanted love,8535
587,wanted love shirt,11990
588,love shirt snowflake,6283
589,shirt snowflake stripe,9333
590,snowflake stripe design,10096
591,stripe design really,10493
592,design really cute,2367
593,really cute fabric,8485
594,cute fabric nice,2176
595,fabric nice quality,3202
596,nice quality loose,7042
597,quality loose fit,8395
598,loose fit would,6104
599,fit would willing,3654
600,would willing work,12820
601,willing work mentioned,12499
602,work mentioned previous,12628
603,mentioned previous reviews,6684
604,previous reviews shoulder,8174
605,reviews shoulder seam,8784
606,shoulder seam rests,9439
607,seam rests odd,9091
608,rests odd place,8671
609,odd place upper,7169
610,place upper arm,7993
611,upper arm little,11733
612,arm little bumps,379
613,little bumps fabric,5762
614,bumps fabric arms,1229
615,fabric arms appear,3144
616,arms appear similar,388
617,appear similar happens,331
618,similar happens leave,9557
619,happens leave shirt,4537
620,leave shirt wire,5406
621,shirt wire hanger,9343
622,wire hanger long,12509
623,hanger long looks,4515
624,long looks like,5879
625,looks like nubby,6082
626,like nubby little,5624
627,nubby little wings,7146
628,little wings coming,5841
629,wings coming arms,12502
630,coming arms attrac,1835
631,bought shirt wear,1108
632,shirt wear work,9341
633,wear work teacher,12241
634,work teacher shirt,12646
635,teacher shirt amazing,10853
636,shirt amazing able,9302
637,amazing able pair,251
638,able pair work,7
639,pair work pants,7523
640,work pants dress,12635
641,pants dress denim,7558
642,dress denim dress,2558
643,denim dress cut,2329
644,dress cut incredible,2556
645,cut incredible peplum,2140
646,incredible peplum waist,4964
647,peplum waist coming,7682
648,waist coming right,11889
649,coming right breasts,1837
650,right breasts little,8813
651,breasts little waist,1175
652,little waist length,5836
653,waist length perfect,11902
654,length perfect seems,5488
655,perfect seems create,7736
656,seems create perfect,9171
657,create perfect shape,2078
658,perfect shape material,7738
659,shape material high,9252
660,material high quality,6544
661,high quality love,4684
662,quality love fabric,8396
663,love fabric texture,6213
664,fabric texture soft,3237
665,texture soft gives,10890
666,soft gives tiny,10138
667,gives tiny bit,4135
668,tiny bit stretch,11177
669,bit stretch much,858
670,stretch much size,10475
671,much size shirt,6849
672,ordered xl sleeves,7435
673,xl sleeves tight,12854
674,sleeves tight sizes,9925
675,tight sizes rest,11123
676,sizes rest shirt,9797
677,rest shirt wide,8668
678,shirt wide loose,9342
679,wide loose tight,12485
680,loose tight sleeves,6121
681,tight sleeves proportional,11125
682,sleeves proportional rest,9919
683,proportional rest shirt,8255
684,rest shirt sizes,8667
685,shirt sizes returned,9332
686,blouse pretty love,939
687,pretty love neck,8148
688,love neck tie,6252
689,neck tie gives,6916
690,tie gives interest,11090
691,gives interest look,4133
692,interest look boring,4991
693,look boring ill,5928
694,boring ill wear,1034
695,ill wear allyear,4932
696,wear allyear round,12128
697,allyear round ordered,141
698,round ordered xxs,8890
699,ordered xxs fits,7440
700,xxs fits perfect,12906
701,bought size usually,1111
702,size usually measurements,9757
703,usually measurements fit,11783
704,measurements fit perfectly,6643
705,fit perfectly pear,3602
706,perfectly pear shape,7773
707,pear shape flattering,7664
708,shape flattering moss,9245
709,flattering moss color,3793
710,moss color lovely,6796
711,color lovely go,1644
712,lovely go lot,6352
713,go lot dressed,4175
714,absolutely love jumpsuit,23
715,love jumpsuit xs,6232
716,jumpsuit xs fits,5150
717,xs fits perfectly,12869
718,fits perfectly typically,3694
719,perfectly typically xs,7780
720,typically xs read,11646
721,xs read previous,12888
722,read previous reviews,8459
723,previous reviews quite,8173
724,reviews quite excited,8782
725,quite excited read,8414
726,excited read people,3078
727,read people found,8458
728,people found short,7674
729,found short waisted,3906
730,short waisted waist,9399
731,waisted waist band,11937
732,waist band actually,11883
733,band actually hits,594
734,actually hits natural,58
735,hits natural waist,4760
736,natural waist pictured,6885
737,waist pictured model,11914
738,pictured model never,7930
739,model never happens,6765
740,never happens great,6985
741,happens great quality,4536
742,great quality thick,4441
743,quality thick fabric,8407
744,thick fabric pleats,10913
745,fabric pleats front,3208
746,pleats front beautiful,8026
747,front beautiful cannot,3950
748,beautiful cannot wait,637
749,one need one,7229
750,need one every,6951
751,one every color,7205
752,every color kind,3022
753,color kind shirts,1635
754,kind shirts need,5197
755,shirts need simply,9348
756,need simply want,6954
757,simply want well,9569
758,want well constructed,11981
759,well constructed fabric,12348
760,constructed fabric perfect,1934
761,fabric perfect weight,3206
762,perfect weight sooooooo,7754
763,weight sooooooo comfortable,12325
764,sooooooo comfortable raspberry,10244
765,comfortable raspberry little,1795
766,raspberry little dusty,8447
767,little dusty rose,5768
768,dusty rose pictured,2786
769,rose pictured online,8882
770,pictured online works,7931
771,online works ive,7320
772,works ive shirt,12660
773,ive shirt couple,5043
774,shirt couple day,9306
775,couple day addition,2036
776,day addition wanting,2237
777,addition wanting wear,87
778,wanting wear every,11998
779,wear every day,12158
780,every day fabric,3023
781,day fabric pilled,2240
782,fabric pilled shortwaisted,3207
783,pilled shortwaisted issue,7967
784,shortwaisted issue highlow,9431
785,issue highlow hem,5005
786,highlow hem cropped,4697
787,hem cropped length,4623
788,dress thick cotton,2701
789,thick cotton material,10907
790,cotton material like,1982
791,material like sweatshirt,6548
792,like sweatshirt hoping,5667
793,sweatshirt hoping wear,10756
794,hoping wear wedding,4824
795,wear wedding tunic,12232
796,wedding tunic best,12294
797,tunic best bell,11578
798,best bell part,733
799,bell part sleeves,713
800,part sleeves also,7607
801,sleeves also stick,9905
802,also stick awkwardly,211
803,stick awkwardly fabric,10349
804,really excited sweater,8494
805,excited sweater terrible,3080
806,sweater terrible great,10743
807,terrible great sweater,10883
808,great sweater large,4452
809,sweater large making,10732
810,large making feel,5288
811,making feel like,6492
812,feel like blob,3346
813,like blob warm,5563
814,blob warm fabric,925
815,warm fabric pretty,12014
816,fabric pretty shape,3209
817,pretty shape would,8158
818,shape would try,9261
819,would try different,12816
820,try different sweater,11508
821,first prints gorgeous,3501
822,prints gorgeous ordered,8216
823,gorgeous ordered three,4276
824,ordered three wanted,7423
825,three wanted love,11075
826,wanted love unfortunately,11991
827,love unfortunately found,6312
828,unfortunately found short,11687
829,found short wide,3907
830,short wide back,9402
831,wide back go,12479
