iter	Logloss
0	0.6796447409
1	0.6701612954
2	0.6582357345
3	0.6466144103
4	0.6386203302
5	0.6313166135
6	0.6230493863
7	0.6168791657
8	0.6091185798
9	0.6032415751
10	0.597595093
11	0.5901443162
12	0.5844740925
13	0.5785798603
14	0.5722612179
15	0.5678284685
16	0.5623221913
17	0.5588836353
18	0.5554943835
19	0.5525679385
20	0.5493176116
21	0.5451761658
22	0.5426307485
23	0.5408403492
24	0.5385212
25	0.5362439612
26	0.5337100157
27	0.5314911573
28	0.5291515752
29	0.5256743173
30	0.524020372
31	0.5213696342
32	0.519838891
33	0.5174613691
34	0.5160627394
35	0.5146175723
36	0.5131364838
37	0.5105007261
38	0.5094268794
39	0.5081745266
40	0.5068988231
41	0.504287887
42	0.5032743816
43	0.5021295267
44	0.5009915403
45	0.4997737688
46	0.4991254023
47	0.4978796818
48	0.4964073973
49	0.4957462567
50	0.4948873995
51	0.4931482176
52	0.4922621136
53	0.4914581094
54	0.4906973955
55	0.4901234798
56	0.4883793042
57	0.4877247085
58	0.4867131275
59	0.4858584995
60	0.4853258298
61	0.4847784788
62	0.4842379005
63	0.4836819299
64	0.4830967316
65	0.4825397786
66	0.4819464502
67	0.48140397
68	0.4810699265
69	0.4805050082
70	0.480052741
71	0.4793564077
72	0.4791697052
73	0.4785529126
74	0.4781162587
75	0.4778200236
76	0.4774334584
77	0.4767817267
78	0.4765003818
79	0.4760545438
80	0.4756905507
81	0.4751450627
82	0.4744453158
83	0.4741579977
84	0.4733003071
85	0.4731260733
86	0.4730226816
87	0.4726227633
88	0.4723937997
89	0.4720434337
90	0.4712285148
91	0.4709067955
92	0.4705086076
93	0.4702332909
94	0.4697944835
95	0.4695174832
96	0.468826279
97	0.4684702067
98	0.4680949851
99	0.4678330208
100	0.4674740867
101	0.4672086237
102	0.4669510905
103	0.4665933724
104	0.4662041541
105	0.4658730039
106	0.4654876522
107	0.4653247285
108	0.4650280443
109	0.4646558041
110	0.4643758786
111	0.4640506142
112	0.4636622655
113	0.4634861769
114	0.463249701
115	0.4629992381
116	0.4625964807
117	0.4622250622
118	0.4620518767
119	0.4616532738
120	0.461506483
121	0.4612940248
122	0.4609371321
123	0.4605919584
124	0.4603616013
125	0.460012471
126	0.4596202979
127	0.4592627172
128	0.4589956227
129	0.4587990218
130	0.4583193305
131	0.4580254568
132	0.4577232705
133	0.4574384575
134	0.4571958003
135	0.4569354536
136	0.4566563866
137	0.4564053111
138	0.4562680738
139	0.4561455885
140	0.4559011518
141	0.4556292218
142	0.4554391298
143	0.4552463718
144	0.4550353
145	0.4548640145
146	0.4545570739
147	0.4544179224
148	0.4541761752
149	0.4538709355
150	0.4535657123
151	0.4533737409
152	0.4530991117
153	0.4528838627
154	0.4526697307
155	0.4524975594
156	0.4520123654
157	0.4518618389
158	0.4516919603
159	0.4516614923
160	0.4514945959
161	0.4513426755
162	0.4510648021
163	0.4507629202
164	0.4505996603
165	0.4503947127
166	0.4502068455
167	0.4500674586
168	0.4499658906
169	0.4498452861
170	0.449655936
171	0.4494499971
172	0.4489979816
173	0.4488426542
174	0.4486554885
175	0.4484799292
176	0.4482926825
177	0.4481905731
178	0.4481780063
179	0.448000068
180	0.4477140256
181	0.4474908133
182	0.4472348413
183	0.4470655567
184	0.4469513535
185	0.4465910689
186	0.4463702184
187	0.4461546355
188	0.446016777
189	0.4456710123
190	0.4454725794
191	0.4453623844
192	0.4451670404
193	0.4450617421
194	0.4448567428
195	0.4446160693
196	0.4443208658
197	0.4439811049
198	0.4437961384
199	0.4435011968
200	0.4432186999
201	0.4431303513
202	0.4430196693
203	0.4428820452
204	0.4427399951
205	0.4425908057
206	0.4423460492
207	0.4421557678
208	0.4419986158
209	0.441877803
210	0.4416373884
211	0.4414813189
212	0.4413258604
213	0.4411080285
214	0.4409615418
215	0.4408351495
216	0.440637281
217	0.4404611034
218	0.4403554041
219	0.440095889
220	0.4398952225
221	0.4397239282
222	0.4396350066
223	0.4394709187
224	0.4393349494
225	0.4391990035
226	0.4390284782
227	0.4389295106
228	0.4388566547
229	0.438780665
230	0.4386702979
231	0.4385060928
232	0.4383938055
233	0.4382532556
234	0.438080071
235	0.4378806531
236	0.4377661471
237	0.4375506836
238	0.437309556
239	0.4371570314
240	0.4370618081
241	0.436789021
242	0.4366277594
243	0.4364487222
244	0.4363266488
245	0.4361990071
246	0.4359562128
247	0.4357186812
248	0.4355851633
249	0.4354593463
250	0.4353304307
251	0.4351338434
252	0.43503236
253	0.4349083868
254	0.4347313899
255	0.4346418372
256	0.4344180895
257	0.4342066915
258	0.4340060414
259	0.4339286333
260	0.4337974555
261	0.4336720747
262	0.4334810197
263	0.4332916591
264	0.4331685727
265	0.4329196045
266	0.4327281842
267	0.4325042047
268	0.4324062535
269	0.4322710923
270	0.4320438439
271	0.4318897329
272	0.4317358991
273	0.4315222787
274	0.4313810834
275	0.4312424516
276	0.4310909335
277	0.4310115272
278	0.430872918
279	0.4306897021
280	0.4304527656
281	0.430282732
282	0.4301108473
283	0.4299580293
284	0.429882327
285	0.429673595
286	0.4294967727
287	0.4293987908
288	0.4292978428
289	0.42916681
290	0.4290111079
291	0.4288114007
292	0.4285155458
293	0.4283020773
294	0.4281885173
295	0.4280657337
296	0.4279301132
297	0.4277831341
298	0.4275766083
299	0.4273744565
300	0.4271578303
301	0.427002452
302	0.426749859
303	0.4265798684
