iter	Passed	Remaining
403	10146	14968
404	10170	14942
405	10192	14912
406	10221	14892
407	10243	14863
408	10269	14839
409	10293	14812
410	10319	14789
411	10346	14766
412	10374	14745
413	10398	14719
414	10423	14692
415	10444	14662
416	10465	14631
417	10487	14602
418	10509	14572
419	10534	14548
420	10558	14521
421	10581	14493
422	10608	14470
423	10633	14445
424	10661	14424
425	10698	14415
426	10721	14386
427	10741	14355
428	10772	14338
429	10795	14309
430	10817	14281
431	10838	14250
432	10870	14235
433	10896	14210
434	10920	14184
435	10943	14155
436	10967	14129
437	10988	14099
438	11008	14068
439	11029	14038
440	11052	14009
441	11073	13979
442	11093	13947
443	11113	13916
444	11135	13888
445	11155	13857
446	11175	13826
447	11196	13795
448	11216	13764
449	11237	13734
450	11257	13703
451	11279	13675
452	11302	13648
453	11324	13619
454	11349	13594
455	11369	13563
456	11389	13532
457	11409	13502
458	11430	13472
459	11451	13442
460	11473	13414
461	11496	13387
462	11521	13362
463	11541	13332
464	11568	13309
465	11590	13281
466	11614	13255
467	11637	13229
468	11660	13201
469	11683	13175
470	11709	13151
471	11731	13122
472	11752	13094
473	11777	13069
474	11800	13042
475	11822	13014
476	11856	12999
477	11881	12974
478	11906	12950
479	11936	12930
480	11958	12903
481	11983	12878
482	12010	12855
483	12034	12829
484	12058	12804
485	12084	12780
486	12115	12762
487	12139	12736
488	12162	12709
489	12185	12683
490	12211	12659
491	12233	12630
492	12258	12606
493	12283	12582
494	12308	12557
495	12331	12530
496	12354	12503
497	12378	12478
498	12402	12452
499	12424	12424
500	12447	12398
501	12471	12372
502	12492	12343
503	12516	12317
504	12540	12292
505	12565	12267
506	12589	12242
507	12613	12216
508	12634	12187
509	12662	12165
510	12685	12139
511	12708	12113
512	12732	12087
513	12754	12059
514	12775	12031
515	12797	12004
516	12819	11976
517	12867	11973
518	12892	11948
519	12914	11921
520	12936	11893
521	12959	11867
522	12984	11842
523	13009	11817
524	13036	11794
525	13060	11769
526	13085	11744
527	13107	11717
528	13128	11689
529	13151	11662
530	13172	11634
531	13194	11607
532	13217	11580
533	13244	11557
534	13271	11535
535	13296	11510
536	13320	11484
537	13344	11459
538	13366	11432
539	13389	11405
540	13413	11380
541	13435	11353
542	13458	11327
543	13483	11302
544	13507	11276
545	13529	11250
546	13551	11222
547	13575	11196
548	13597	11170
549	13622	11145
550	13661	11132
551	13693	11113
552	13718	11088
553	13741	11062
554	13763	11035
555	13786	11009
556	13809	10983
557	13926	11031
558	13949	11004
559	13971	10977
560	13998	10954
561	14025	10930
562	14047	10903
563	14070	10877
564	14092	10850
565	14117	10825
566	14141	10799
567	14164	10772
568	14186	10746
569	14212	10721
570	14236	10696
571	14258	10668
572	14280	10641
573	14307	10618
574	14331	10592
575	14367	10576
576	14393	10552
577	14417	10526
578	14441	10500
579	14462	10473
580	14487	10448
581	14512	10422
582	14534	10395
583	14559	10371
584	14588	10349
585	14612	10323
586	14634	10296
587	14658	10271
588	14682	10245
589	14705	10219
590	14728	10193
591	14750	10166
592	14772	10138
593	14797	10114
594	14820	10088
595	14846	10063
596	14868	10036
597	14914	10025
598	14939	10001
599	14960	9973
600	14982	9946
601	15008	9922
602	15030	9895
603	15056	9871
604	15078	9844
605	15103	9819
606	15124	9792
607	15147	9765
608	15172	9741
609	15195	9715
610	15221	9690
611	15244	9665
612	15270	9640
613	15293	9614
614	15320	9590
615	15347	9567
616	15371	9542
617	15397	9517
618	15423	9493
619	15447	9467
620	15468	9440
621	15492	9414
622	15517	9390
623	15540	9364
624	15563	9338
625	15589	9313
626	15621	9292
627	15646	9268
628	15672	9243
629	15696	9218
630	15720	9192
631	15743	9167
632	15767	9141
633	15790	9115
634	15813	9089
635	15837	9064
636	15861	9039
637	15885	9013
638	15924	8996
639	15946	8969
640	15967	8942
641	15989	8916
642	16016	8892
643	16039	8866
644	16062	8840
645	16087	8815
646	16111	8790
647	16135	8765
648	16162	8741
649	16188	8716
650	16214	8692
651	16240	8668
652	16262	8641
653	16285	8615
654	16310	8591
655	16335	8566
656	16358	8540
657	16381	8514
658	16406	8489
659	16432	8465
660	16452	8438
661	16473	8411
662	16497	8385
663	16520	8359
664	16544	8334
665	16583	8316
666	16613	8294
667	16640	8270
668	16666	8246
669	16693	8222
670	16719	8197
671	16747	8174
672	16771	8149
673	16798	8125
674	16825	8101
675	16852	8077
676	16879	8053
677	16931	8041
678	16958	8017
679	16984	7992
680	17010	7968
681	17035	7943
682	17061	7918
683	17086	7893
684	17113	7869
685	17138	7844
686	17165	7820
687	17194	7797
688	17219	7772
689	17246	7748
690	17275	7725
691	17299	7699
692	17325	7675
693	17352	7651
694	17375	7625
695	17398	7599
696	17425	7575
697	17448	7549
698	17472	7524
699	17495	7497
700	17519	7472
701	17541	7446
702	17565	7421
703	17590	7395
704	17612	7369
705	17638	7345
706	17663	7320
707	17688	7295
708	17713	7270
709	17739	7245
710	17764	7220
711	17793	7197
712	17817	7171
713	17838	7145
714	17861	7119
715	17882	7093
716	17904	7066
717	17952	7050
718	17991	7031
719	18016	7006
720	18040	6981
721	18064	6955
722	18089	6930
723	18114	6905
724	18138	6880
725	18163	6854
726	18184	6828
727	18206	6802
728	18227	6775
729	18250	6750
730	18273	6724
731	18296	6698
732	18319	6673
733	18342	6647
734	18367	6622
735	18391	6597
736	18414	6571
737	18440	6546
738	18465	6521
739	18494	6498
740	18520	6473
741	18547	6448
742	18572	6424
743	18597	6399
744	18619	6373
745	18645	6348
746	18670	6323
747	18695	6298
748	18718	6272
749	18742	6247
750	18764	6221
751	18789	6196
752	18815	6171
753	18837	6145
754	18861	6120
755	18887	6096
756	18911	6070
757	18962	6053
758	18984	6027
759	19008	6002
760	19033	5977
761	19059	5953
762	19085	5928
763	19111	5903
764	19136	5878
765	19160	5853
766	19183	5827
767	19208	5802
768	19233	5777
769	19258	5752
770	19283	5727
771	19311	5703
772	19336	5678
773	19360	5652
774	19383	5627
775	19408	5602
